i,elapsed_time
0,0.018356037
1,0.017478904
2,0.018203322
3,0.018738437
4,0.019905887
5,0.017976684
6,0.017397761
7,0.020269447
8,0.017780389
9,0.020667650
10,0.021485169
11,0.020939296
12,0.016997166
13,0.017044158
14,0.017319579
15,0.020772537
16,0.019198235
17,0.018431974
18,0.017291177
19,0.017574971
20,0.018475860
21,0.021533784
22,0.017854431
23,0.021156963
24,0.017772509
25,0.019143579
26,0.017887063
27,0.020909540
28,0.018865195
29,0.020026622
30,0.020653520
31,0.020253737
32,0.019300512
33,0.018558806
34,0.016968839
35,0.019972545
36,0.017230138
37,0.020121619
38,0.017808171
39,0.021405896
40,0.017855499
41,0.017699007
42,0.017262589
43,0.019540083
44,0.016928752
45,0.018842778
46,0.018298575
47,0.018550224
48,0.020152997
49,0.017633401
