i,elapsed_time
0,0.020259668
1,0.019398485
2,0.019045907
3,0.018311401
4,0.020125444
5,0.019397012
6,0.019835588
7,0.018007647
8,0.018491533
9,0.019931181
10,0.020288293
11,0.020557340
12,0.018224057
13,0.018834407
14,0.018251481
15,0.017903802
16,0.020101865
17,0.019409074
18,0.018011847
19,0.020394845
20,0.018726643
21,0.019475285
22,0.020343065
23,0.018323496
24,0.019903269
25,0.019165384
26,0.020067944
27,0.018040553
28,0.019886435
29,0.018371356
30,0.019120862
31,0.018663476
32,0.019931531
33,0.018001564
34,0.020216437
35,0.019449243
36,0.018526074
37,0.018430339
38,0.019419411
39,0.018344790
40,0.020504279
41,0.019535293
42,0.019042759
43,0.018721184
44,0.018939916
45,0.019878913
46,0.019769013
47,0.018246335
48,0.020585639
49,0.019464247
