i,elapsed_time
0,0.024845916
1,0.022779786
2,0.025107097
3,0.022346822
4,0.023826258
5,0.023405610
6,0.023474757
7,0.023817154
8,0.023887939
9,0.024376695
10,0.024602395
11,0.024172725
12,0.025030259
13,0.023844541
14,0.023566848
15,0.024796073
16,0.023378082
17,0.022966943
18,0.024029951
19,0.025038668
20,0.023845577
21,0.023820056
22,0.024557492
23,0.022207850
24,0.024770395
25,0.024488282
26,0.024913302
27,0.024865190
28,0.025001498
29,0.025065897
30,0.024199806
31,0.024888924
32,0.025204922
33,0.023434856
34,0.023589421
35,0.025128360
36,0.025013897
37,0.022990782
38,0.022271015
39,0.022603441
40,0.024742236
41,0.022298408
42,0.025019348
43,0.024900009
44,0.024882922
45,0.022246418
46,0.024405869
47,0.023021158
48,0.025055484
49,0.023686075
