i,elapsed_time
0,0.024732454
1,0.021561305
2,0.024760270
3,0.023656570
4,0.022199068
5,0.024847606
6,0.022787496
7,0.021090885
8,0.021214449
9,0.022648214
10,0.024433000
11,0.023857589
12,0.022147088
13,0.021642405
14,0.022914425
15,0.024399933
16,0.021727348
17,0.021354167
18,0.021808386
19,0.022524196
20,0.022011518
21,0.021426918
22,0.025150458
23,0.023952784
24,0.024463239
25,0.021294967
26,0.024150028
27,0.023290478
28,0.022402352
29,0.023011827
30,0.024596711
31,0.022393806
32,0.024632604
33,0.025089176
34,0.021825225
35,0.024678162
36,0.022151296
37,0.024868815
38,0.022368663
39,0.022521498
40,0.021608288
41,0.023172323
42,0.022423568
43,0.024771846
44,0.022537656
45,0.025050148
46,0.022331061
47,0.023570005
48,0.021811838
49,0.025019332
